stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Hispanic or Latino","404",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Hispanic or Latino","434",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Hispanic or Latino","430",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Hispanic or Latino","490",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Hispanic or Latino","450",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Hispanic or Latino","455",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Hispanic or Latino","602",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Hispanic or Latino","583",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Hispanic or Latino","1244",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Hispanic or Latino","1173",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Hispanic or Latino","887",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Hispanic or Latino","577",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Hispanic or Latino","547",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Hispanic or Latino","778",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Hispanic or Latino","741",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Hispanic or Latino","905",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Hispanic or Latino","1098",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Hispanic or Latino","1240",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Hispanic or Latino","1591",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Hispanic or Latino","1461",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Hispanic or Latino","2142",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Hispanic or Latino","13140",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Hispanic or Latino","2824",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Hispanic or Latino","3040",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Hispanic or Latino","1541",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Hispanic or Latino","1743",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Hispanic or Latino","1653",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Hispanic or Latino","2618",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Hispanic or Latino","3392",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Hispanic or Latino","4667",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Hispanic or Latino","11153",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Hispanic or Latino","10518",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Hispanic or Latino","373",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Hispanic or Latino","574",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Hispanic or Latino","44096",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Hispanic or Latino","817",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Hispanic or Latino","697",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Hispanic or Latino","319",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Hispanic or Latino","265",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Hispanic or Latino","215",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Hispanic or Latino","294",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Hispanic or Latino","267",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Hispanic or Latino","294",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Hispanic or Latino","304",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Hispanic or Latino","298",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Hispanic or Latino","372",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Hispanic or Latino","617",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Hispanic or Latino","4759",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Hispanic or Latino","640",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Hispanic or Latino","697",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Hispanic or Latino","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Hispanic or Latino","247",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Hispanic or Latino","273",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Hispanic or Latino","230",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Hispanic or Latino","288",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Hispanic or Latino","279",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Hispanic or Latino","339",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Hispanic or Latino","363",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Hispanic or Latino","396",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Hispanic or Latino","555",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Hispanic or Latino","4582",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Hispanic or Latino","724",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Hispanic or Latino","635",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Hispanic or Latino","279",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Hispanic or Latino","245",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Hispanic or Latino","274",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Hispanic or Latino","247",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Hispanic or Latino","300",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Hispanic or Latino","322",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Hispanic or Latino","254",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Hispanic or Latino","360",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Hispanic or Latino","285",
