stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Not Hispanic or Latino","4909",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Not Hispanic or Latino","5614",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Not Hispanic or Latino","5479",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Not Hispanic or Latino","6050",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Not Hispanic or Latino","5744",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Not Hispanic or Latino","5821",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Not Hispanic or Latino","6634",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Not Hispanic or Latino","6648",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Not Hispanic or Latino","13680",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Not Hispanic or Latino","12312",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Not Hispanic or Latino","8626",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Not Hispanic or Latino","6842",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Not Hispanic or Latino","6520",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Not Hispanic or Latino","9245",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Not Hispanic or Latino","9117",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Not Hispanic or Latino","11830",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Not Hispanic or Latino","13836",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Not Hispanic or Latino","18410",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Not Hispanic or Latino","21349",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Not Hispanic or Latino","18469",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Not Hispanic or Latino","25197",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Not Hispanic or Latino","161753",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Not Hispanic or Latino","28932",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Not Hispanic or Latino","32462",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Not Hispanic or Latino","19112",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Not Hispanic or Latino","21449",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Not Hispanic or Latino","21984",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Not Hispanic or Latino","36552",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Not Hispanic or Latino","50180",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Not Hispanic or Latino","66029",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Not Hispanic or Latino","163785",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Not Hispanic or Latino","143574",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Not Hispanic or Latino","5740",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Not Hispanic or Latino","7424",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Not Hispanic or Latino","597223",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Not Hispanic or Latino","9175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Not Hispanic or Latino","7471",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Not Hispanic or Latino","5395",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Not Hispanic or Latino","4684",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Not Hispanic or Latino","4154",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Not Hispanic or Latino","5085",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Not Hispanic or Latino","4700",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Not Hispanic or Latino","4819",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Not Hispanic or Latino","5318",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Not Hispanic or Latino","5382",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Not Hispanic or Latino","5722",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Not Hispanic or Latino","8599",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Not Hispanic or Latino","70504",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Not Hispanic or Latino","7921",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Not Hispanic or Latino","7841",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Not Hispanic or Latino","5393",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Not Hispanic or Latino","4145",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Not Hispanic or Latino","4628",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Not Hispanic or Latino","4946",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Not Hispanic or Latino","5050",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Not Hispanic or Latino","4944",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Not Hispanic or Latino","5568",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Not Hispanic or Latino","5567",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Not Hispanic or Latino","5879",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Not Hispanic or Latino","8355",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Not Hispanic or Latino","70237",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Not Hispanic or Latino","8124",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Not Hispanic or Latino","8023",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Not Hispanic or Latino","4928",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Not Hispanic or Latino","4488",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Not Hispanic or Latino","4902",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Not Hispanic or Latino","4967",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Not Hispanic or Latino","5865",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Not Hispanic or Latino","5945",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Not Hispanic or Latino","5062",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Not Hispanic or Latino","6251",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Not Hispanic or Latino","5164",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Not Hispanic or Latino","7999",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Not Hispanic or Latino","71718",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Not Hispanic or Latino","9034",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Not Hispanic or Latino","9014",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Not Hispanic or Latino","5550",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Not Hispanic or Latino","5299",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Not Hispanic or Latino","5620",
