stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Ethnicity Unknown                                        ","591",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Ethnicity Unknown                                        ","623",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Ethnicity Unknown                                        ","673",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Ethnicity Unknown                                        ","710",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Ethnicity Unknown                                        ","664",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Ethnicity Unknown                                        ","618",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Ethnicity Unknown                                        ","745",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Ethnicity Unknown                                        ","793",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Ethnicity Unknown                                        ","1615",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Ethnicity Unknown                                        ","2684",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Ethnicity Unknown                                        ","896",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Ethnicity Unknown                                        ","799",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Ethnicity Unknown                                        ","753",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Ethnicity Unknown                                        ","1232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Ethnicity Unknown                                        ","1097",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Ethnicity Unknown                                        ","1342",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Ethnicity Unknown                                        ","1563",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Ethnicity Unknown                                        ","1608",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Ethnicity Unknown                                        ","2330",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Ethnicity Unknown                                        ","1916",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Ethnicity Unknown                                        ","2578",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Ethnicity Unknown                                        ","18798",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Ethnicity Unknown                                        ","3101",
