stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Asian","314",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Asian","334",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Asian","375",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Asian","447",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Asian","344",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Asian","360",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Asian","361",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Asian","404",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Asian","760",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Asian","495",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Asian","467",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Asian","446",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Asian","445",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Asian","664",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Asian","625",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Asian","931",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Asian","1262",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Asian","1218",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Asian","1688",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Asian","1387",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Asian","2139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Asian","11767",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Asian","2389",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Asian","2317",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Asian","1716",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Asian","2405",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Asian","2255",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Asian","3932",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Asian","5012",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Asian","7502",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Asian","15836",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Asian","11237",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Asian","267",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Asian","352",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Asian","55220",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Asian","348",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Asian","290",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Asian","294",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Asian","245",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Asian","224",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Asian","269",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Asian","328",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Asian","338",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Asian","300",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Asian","254",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Asian","251",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Asian","393",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Asian","3534",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Asian","256",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Asian","251",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Asian","258",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Asian","188",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Asian","225",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Asian","235",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Asian","273",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Asian","216",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Asian","240",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Asian","265",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Asian","251",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Asian","346",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Asian","3004",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Asian","283",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Asian","281",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Asian","241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Asian","221",
