stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Black or African American,","1161",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Black or African American,","1415",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Black or African American,","1644",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Black or African American,","1643",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Black or African American,","1663",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Black or African American,","1450",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Black or African American,","1568",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Black or African American,","1448",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Black or African American,","2539",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Black or African American,","1661",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Black or African American,","1426",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Black or African American,","1571",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Black or African American,","1477",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Black or African American,","2472",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Black or African American,","2572",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Black or African American,","3521",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Black or African American,","4249",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Black or African American,","3992",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Black or African American,","4453",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Black or African American,","3735",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Black or African American,","5411",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Black or African American,","36540",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Black or African American,","5267",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Black or African American,","3983",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Black or African American,","3476",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Black or African American,","4564",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Black or African American,","4370",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Black or African American,","6503",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Black or African American,","9827",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Black or African American,","16051",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Black or African American,","27758",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Black or African American,","17025",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Black or African American,","845",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Black or African American,","1104",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Black or African American,","100773",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Black or African American,","1089",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Black or African American,","906",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Black or African American,","814",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Black or African American,","720",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Black or African American,","696",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Black or African American,","923",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Black or African American,","856",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Black or African American,","870",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Black or African American,","891",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Black or African American,","793",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Black or African American,","849",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Black or African American,","1093",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Black or African American,","10500",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Black or African American,","924",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Black or African American,","886",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Black or African American,","836",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Black or African American,","633",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Black or African American,","808",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Black or African American,","886",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Black or African American,","945",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Black or African American,","899",
