stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Race Unknown","862",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Race Unknown","934",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Race Unknown","980",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Race Unknown","1032",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Race Unknown","967",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Race Unknown","936",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Race Unknown","1108",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Race Unknown","1096",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Race Unknown","2278",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Race Unknown","2273",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Race Unknown","1442",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Race Unknown","1121",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Race Unknown","1046",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Race Unknown","1687",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Race Unknown","1424",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Race Unknown","1816",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Race Unknown","2111",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Race Unknown","2218",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Race Unknown","3417",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Race Unknown","2407",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Race Unknown","3488",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Race Unknown","24450",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Race Unknown","4420",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Race Unknown","4716",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Race Unknown","2801",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Race Unknown","3126",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Race Unknown","2989",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Race Unknown","4919",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Race Unknown","6443",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Race Unknown","8316",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Race Unknown","19759",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Race Unknown","19380",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Race Unknown","822",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Race Unknown","1114",
