stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","White","3493",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","White","3914",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","White","3490",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","White","4021",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","White","3774",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","White","4050",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","White","4829",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","White","4973",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","White","10736",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","White","11550",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","White","6921",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","White","4967",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","White","4733",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","White","6302",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","White","6197",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","White","7604",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","White","8629",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","White","13612",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","White","15420",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","White","14067",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","White","18558",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","White","118560",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","White","22325",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","White","27322",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","White","14501",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","White","15150",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","White","16050",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","White","27322",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","White","37022",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","White","44638",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","White","125424",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","White","119286",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","White","4782",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","White","6241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","White","460063",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","White","8086",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","White","6551",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","White","4376",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","White","3775",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","White","3257",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","White","3958",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","White","3583",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","White","3698",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","White","4243",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","White","4452",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","White","4778",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","White","7382",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","White","58139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","White","6977",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","White","6972",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","White","4438",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","White","3412",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","White","3666",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","White","3900",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","White","3907",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","White","3930",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","White","4533",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","White","4567",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","White","4941",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","White","7132",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","White","58375",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","White","7273",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","White","7122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","White","4007",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","White","3645",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","White","3905",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","White","3962",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","White","4526",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","White","4785",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","White","4039",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","White","5147",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","White","4342",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","White","6858",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","White","59611",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","White","8007",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","White","8042",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","White","4647",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","White","4391",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","White","4516",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","White","4117",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","White","4975",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","White","4687",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","White","4415",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","White","4866",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","White","5711",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","White","7112",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","White","65486",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","White","8617",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","11","November","White","7945",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","10","October","White","4534",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","09","September","White","4630",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","08","August","White","4237",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","07","July","White","4458",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","06","June","White","5490",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","05","May","White","4566",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","04","April","White","4805",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","03","March","White","5418",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","02","February","White","5738",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","01","January","White","7311",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","01","00","Year","White","67749",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","12","December","White","8851",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","11","November","White","8035",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","10","October","White","5032",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","09","September","White","4921",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","08","August","White","4411",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","07","July","White","5263",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","06","June","White","5562",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","05","May","White","5532",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","04","April","White","5745",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","03","March","White","6699",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","02","February","White","6413",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","01","January","White","8579",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","01","00","Year","White","75043",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","12","December","White","10313",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","11","November","White","7959",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","10","October","White","6853",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","09","September","White","5271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","08","August","White","5284",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","07","July","White","6349",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","06","June","White","6074",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","05","May","White","6432",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","04","April","White","6648",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","03","March","White","6534",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","02","February","White","6536",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","01","January","White","9812",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","01","00","Year","White","84065",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","12","December","White","9412",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","11","November","White","9913",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","10","October","White","7616",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","09","September","White","5493",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","08","August","White","5849",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","07","July","White","6570",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","06","June","White","6686",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","05","May","White","6760",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","04","April","White","6503",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","03","March","White","6881",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","02","February","White","7732",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","01","January","White","10836",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","01","00","Year","White","90251",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","12","December","White","10099",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","11","November","White","10238",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","10","October","White","7256",
