stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Female      ","2527",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Female      ","2969",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Female      ","3026",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Female      ","3645",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Female      ","3167",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Female      ","2935",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Female      ","3271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Female      ","3098",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Female      ","6658",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Female      ","5927",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Female      ","3694",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Female      ","3709",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Female      ","3648",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Female      ","5305",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Female      ","5354",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Female      ","7225",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Female      ","8227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Female      ","10062",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Female      ","11792",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Female      ","9277",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Female      ","13020",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Female      ","87240",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Female      ","15496",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Female      ","19260",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Female      ","10667",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Female      ","13119",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Female      ","13398",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Female      ","22232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Female      ","30620",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Female      ","39823",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Female      ","100744",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Female      ","95381",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Female      ","2271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Female      ","2807",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Female      ","365818",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Female      ","2775",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Female      ","2332",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Female      ","2364",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Female      ","2182",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Female      ","2071",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Female      ","2591",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Female      ","2725",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Female      ","2425",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Female      ","2462",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Female      ","2326",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Female      ","2198",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Female      ","3229",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Female      ","29680",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Female      ","2517",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Female      ","2424",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Female      ","2295",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Female      ","1985",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Female      ","2364",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Female      ","2553",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Female      ","2849",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Female      ","2511",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Female      ","2422",
