stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Male        ","3377",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Male        ","3702",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Male        ","3556",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Male        ","3605",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Male        ","3691",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Male        ","3958",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Male        ","4710",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Male        ","4926",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Male        ","9881",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Male        ","10242",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Male        ","6715",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Male        ","4509",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Male        ","4172",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Male        ","5950",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Male        ","5600",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Male        ","6851",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Male        ","8269",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Male        ","11195",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Male        ","13478",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Male        ","12569",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Male        ","16895",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Male        ","106445",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Male        ","19361",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Male        ","19517",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Male        ","12101",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Male        ","12429",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Male        ","12540",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Male        ","20889",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Male        ","28219",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Male        ","37367",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Male        ","89733",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Male        ","73320",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Male        ","4522",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Male        ","6112",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Male        ","336110",
