stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Accommodation and Food Services","419",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Accommodation and Food Services","524",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Accommodation and Food Services","525",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Accommodation and Food Services","641",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Accommodation and Food Services","574",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Accommodation and Food Services","481",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Accommodation and Food Services","686",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Accommodation and Food Services","637",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Accommodation and Food Services","1596",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Accommodation and Food Services","1082",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Accommodation and Food Services","680",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Accommodation and Food Services","733",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Accommodation and Food Services","658",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Accommodation and Food Services","965",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Accommodation and Food Services","873",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Accommodation and Food Services","1186",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Accommodation and Food Services","1606",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Accommodation and Food Services","2184",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Accommodation and Food Services","3704",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Accommodation and Food Services","1902",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Accommodation and Food Services","2807",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Accommodation and Food Services","18380",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Accommodation and Food Services","5586",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Accommodation and Food Services","9397",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Accommodation and Food Services","2943",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Accommodation and Food Services","3590",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Accommodation and Food Services","3361",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Accommodation and Food Services","5015",
