stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Administrative and Waste Services","558",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Administrative and Waste Services","600",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Administrative and Waste Services","674",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Administrative and Waste Services","683",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Administrative and Waste Services","661",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Administrative and Waste Services","675",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Administrative and Waste Services","782",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Administrative and Waste Services","815",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Administrative and Waste Services","1487",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Administrative and Waste Services","1574",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Administrative and Waste Services","1149",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Administrative and Waste Services","663",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Administrative and Waste Services","582",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Administrative and Waste Services","949",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Administrative and Waste Services","983",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Administrative and Waste Services","1212",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Administrative and Waste Services","1427",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Administrative and Waste Services","1480",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Administrative and Waste Services","1650",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Administrative and Waste Services","1599",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Administrative and Waste Services","2291",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Administrative and Waste Services","15559",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Administrative and Waste Services","2772",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Administrative and Waste Services","2257",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Administrative and Waste Services","1547",
