stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Agriculture, Forestry, Fishing & Hunting","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Agriculture, Forestry, Fishing & Hunting","11",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Agriculture, Forestry, Fishing & Hunting","11",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Agriculture, Forestry, Fishing & Hunting","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Agriculture, Forestry, Fishing & Hunting","11",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Agriculture, Forestry, Fishing & Hunting","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Agriculture, Forestry, Fishing & Hunting","18",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Agriculture, Forestry, Fishing & Hunting","17",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Agriculture, Forestry, Fishing & Hunting","55",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Agriculture, Forestry, Fishing & Hunting","87",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Agriculture, Forestry, Fishing & Hunting","70",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Agriculture, Forestry, Fishing & Hunting","19",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Agriculture, Forestry, Fishing & Hunting","13",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Agriculture, Forestry, Fishing & Hunting","16",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Agriculture, Forestry, Fishing & Hunting","31",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Agriculture, Forestry, Fishing & Hunting","20",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Agriculture, Forestry, Fishing & Hunting","13",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Agriculture, Forestry, Fishing & Hunting","37",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Agriculture, Forestry, Fishing & Hunting","33",
