stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Arts, Entertainment, and Recreation","114",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Arts, Entertainment, and Recreation","102",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Arts, Entertainment, and Recreation","115",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Arts, Entertainment, and Recreation","106",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Arts, Entertainment, and Recreation","110",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Arts, Entertainment, and Recreation","110",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Arts, Entertainment, and Recreation","116",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Arts, Entertainment, and Recreation","122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Arts, Entertainment, and Recreation","329",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Arts, Entertainment, and Recreation","251",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Arts, Entertainment, and Recreation","268",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Arts, Entertainment, and Recreation","175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Arts, Entertainment, and Recreation","139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Arts, Entertainment, and Recreation","184",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Arts, Entertainment, and Recreation","182",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Arts, Entertainment, and Recreation","233",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Arts, Entertainment, and Recreation","294",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Arts, Entertainment, and Recreation","434",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Arts, Entertainment, and Recreation","564",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Arts, Entertainment, and Recreation","356",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Arts, Entertainment, and Recreation","522",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Arts, Entertainment, and Recreation","3602",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Arts, Entertainment, and Recreation","1324",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Arts, Entertainment, and Recreation","2653",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Arts, Entertainment, and Recreation","516",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Arts, Entertainment, and Recreation","572",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Arts, Entertainment, and Recreation","543",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Arts, Entertainment, and Recreation","900",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Arts, Entertainment, and Recreation","1286",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Arts, Entertainment, and Recreation","1623",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Arts, Entertainment, and Recreation","5626",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Arts, Entertainment, and Recreation","8194",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Arts, Entertainment, and Recreation","96",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Arts, Entertainment, and Recreation","149",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Arts, Entertainment, and Recreation","23482",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Arts, Entertainment, and Recreation","174",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Arts, Entertainment, and Recreation","212",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Arts, Entertainment, and Recreation","123",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Arts, Entertainment, and Recreation","88",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Arts, Entertainment, and Recreation","73",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Arts, Entertainment, and Recreation","117",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Arts, Entertainment, and Recreation","102",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Arts, Entertainment, and Recreation","123",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Arts, Entertainment, and Recreation","91",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Arts, Entertainment, and Recreation","95",
