stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Construction","973",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Construction","968",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Construction","720",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Construction","773",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Construction","900",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Construction","1160",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Construction","1479",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Construction","1648",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Construction","3374",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Construction","3619",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Construction","2758",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Construction","1328",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Construction","1156",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Construction","1282",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Construction","1045",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Construction","1138",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Construction","1444",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Construction","1804",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Construction","2516",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Construction","3317",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Construction","3810",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Construction","25217",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Construction","4944",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Construction","4329",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Construction","2720",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Construction","2330",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Construction","1889",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Construction","2723",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Construction","2828",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Construction","3178",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Construction","7781",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Construction","7836",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Construction","1720",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Construction","2386",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Construction","44664",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Construction","4037",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Construction","3057",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Construction","1268",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Construction","893",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Construction","595",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Construction","826",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Construction","520",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Construction","783",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Construction","1148",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Construction","1246",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Construction","1804",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Construction","2963",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Construction","19140",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Construction","3374",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Construction","3162",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Construction","1495",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Construction","1057",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Construction","779",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Construction","837",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Construction","628",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Construction","852",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Construction","1450",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Construction","1424",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Construction","1701",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Construction","2941",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Construction","19700",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Construction","3347",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Construction","2981",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Construction","1063",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Construction","898",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Construction","733",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Construction","749",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Construction","694",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Construction","1069",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Construction","977",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Construction","1492",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Construction","1422",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Construction","2450",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Construction","17875",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Construction","3471",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Construction","3364",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Construction","1328",
