stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Educational Services","165",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Educational Services","266",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Educational Services","320",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Educational Services","540",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Educational Services","271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Educational Services","159",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Educational Services","193",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Educational Services","190",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Educational Services","474",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Educational Services","475",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Educational Services","274",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Educational Services","267",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Educational Services","284",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Educational Services","434",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Educational Services","607",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Educational Services","1121",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Educational Services","811",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Educational Services","795",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Educational Services","824",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Educational Services","729",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Educational Services","1130",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Educational Services","7751",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Educational Services","1706",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Educational Services","1697",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Educational Services","765",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Educational Services","1102",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Educational Services","1105",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Educational Services","2200",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Educational Services","5003",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Educational Services","4280",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Educational Services","7788",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Educational Services","5241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Educational Services","133",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Educational Services","175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Educational Services","31195",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Educational Services","175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Educational Services","164",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Educational Services","165",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Educational Services","178",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Educational Services","230",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Educational Services","300",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Educational Services","482",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Educational Services","182",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Educational Services","143",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Educational Services","207",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Educational Services","160",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Educational Services","232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Educational Services","2618",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Educational Services","181",
