stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Finance and Insurance","248",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Finance and Insurance","262",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Finance and Insurance","241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Finance and Insurance","243",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Finance and Insurance","230",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Finance and Insurance","244",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Finance and Insurance","249",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Finance and Insurance","211",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Finance and Insurance","417",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Finance and Insurance","602",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Finance and Insurance","244",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Finance and Insurance","222",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Finance and Insurance","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Finance and Insurance","345",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Finance and Insurance","347",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Finance and Insurance","345",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Finance and Insurance","435",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Finance and Insurance","786",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Finance and Insurance","617",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Finance and Insurance","616",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Finance and Insurance","748",
