stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Health Care and Social Assistance","638",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Health Care and Social Assistance","777",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Health Care and Social Assistance","867",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Health Care and Social Assistance","946",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Health Care and Social Assistance","927",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Health Care and Social Assistance","869",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Health Care and Social Assistance","911",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Health Care and Social Assistance","868",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Health Care and Social Assistance","1898",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Health Care and Social Assistance","1630",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Health Care and Social Assistance","1001",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Health Care and Social Assistance","1104",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Health Care and Social Assistance","1191",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Health Care and Social Assistance","1744",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Health Care and Social Assistance","1637",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Health Care and Social Assistance","2226",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Health Care and Social Assistance","2634",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Health Care and Social Assistance","3052",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Health Care and Social Assistance","2955",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Health Care and Social Assistance","2520",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Health Care and Social Assistance","3544",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Health Care and Social Assistance","25238",
