stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Information","142",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Information","169",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Information","141",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Information","125",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Information","139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Information","139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Information","175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Information","156",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Information","323",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Information","233",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Information","119",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Information","141",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Information","130",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Information","247",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Information","218",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Information","283",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Information","373",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Information","454",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Information","559",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Information","436",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Information","581",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Information","3774",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Information","642",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Information","568",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Information","496",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Information","552",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Information","578",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Information","1061",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Information","1360",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Information","2681",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Information","9772",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Information","2718",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Information","130",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Information","173",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Information","20731",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Information","110",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Information","126",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Information","136",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Information","103",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Information","98",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Information","126",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Information","111",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Information","115",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Information","116",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Information","103",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Information","137",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Information","161",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Information","1442",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Information","126",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Information","129",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Information","118",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Information","105",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Information","154",
