stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Manufacturing","440",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Manufacturing","562",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Manufacturing","525",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Manufacturing","497",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Manufacturing","498",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Manufacturing","522",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Manufacturing","527",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Manufacturing","568",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Manufacturing","1179",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Manufacturing","1164",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Manufacturing","748",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Manufacturing","598",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Manufacturing","639",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Manufacturing","862",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Manufacturing","849",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Manufacturing","1044",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Manufacturing","1321",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Manufacturing","1808",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Manufacturing","1825",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Manufacturing","1834",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Manufacturing","2395",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Manufacturing","15087",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Manufacturing","2316",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Manufacturing","2445",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Manufacturing","2727",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Manufacturing","2751",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Manufacturing","3380",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Manufacturing","6799",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Manufacturing","7248",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Manufacturing","9917",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Manufacturing","16175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Manufacturing","9076",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Manufacturing","580",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Manufacturing","832",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Manufacturing","64246",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Manufacturing","952",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Manufacturing","865",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Manufacturing","691",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Manufacturing","772",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Manufacturing","531",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Manufacturing","559",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Manufacturing","559",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Manufacturing","765",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Manufacturing","683",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Manufacturing","544",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Manufacturing","632",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Manufacturing","790",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Manufacturing","8343",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Manufacturing","660",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Manufacturing","673",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Manufacturing","524",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Manufacturing","427",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Manufacturing","517",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Manufacturing","541",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Manufacturing","482",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Manufacturing","506",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Manufacturing","624",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Manufacturing","546",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Manufacturing","572",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Manufacturing","844",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Manufacturing","6916",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Manufacturing","768",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Manufacturing","743",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Manufacturing","643",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Manufacturing","491",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Manufacturing","509",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Manufacturing","562",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Manufacturing","564",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Manufacturing","638",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Manufacturing","544",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Manufacturing","798",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Manufacturing","549",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Manufacturing","853",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Manufacturing","7662",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Manufacturing","843",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Manufacturing","920",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Manufacturing","627",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Manufacturing","629",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Manufacturing","648",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","Manufacturing","697",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","Manufacturing","720",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","Manufacturing","582",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","Manufacturing","580",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","Manufacturing","625",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","Manufacturing","732",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","Manufacturing","923",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","Manufacturing","8526",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","Manufacturing","988",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","11","November","Manufacturing","891",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","10","October","Manufacturing","633",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","09","September","Manufacturing","1126",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","08","August","Manufacturing","711",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","07","July","Manufacturing","643",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","06","June","Manufacturing","868",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","05","May","Manufacturing","681",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","04","April","Manufacturing","645",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","03","March","Manufacturing","712",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","02","February","Manufacturing","688",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","01","January","Manufacturing","779",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","01","00","Year","Manufacturing","9365",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","12","December","Manufacturing","899",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","11","November","Manufacturing","766",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","10","October","Manufacturing","577",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","09","September","Manufacturing","553",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","08","August","Manufacturing","534",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","07","July","Manufacturing","818",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","06","June","Manufacturing","575",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","05","May","Manufacturing","635",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","04","April","Manufacturing","690",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","03","March","Manufacturing","700",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","02","February","Manufacturing","771",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","01","January","Manufacturing","931",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","01","00","Year","Manufacturing","8449",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","12","December","Manufacturing","1130",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","11","November","Manufacturing","828",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","10","October","Manufacturing","883",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","09","September","Manufacturing","741",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","08","August","Manufacturing","904",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","07","July","Manufacturing","1117",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","06","June","Manufacturing","811",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","05","May","Manufacturing","982",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","04","April","Manufacturing","961",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","03","March","Manufacturing","859",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","02","February","Manufacturing","859",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","01","January","Manufacturing","1164",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","01","00","Year","Manufacturing","11239",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","12","December","Manufacturing","1141",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","11","November","Manufacturing","1205",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","10","October","Manufacturing","1160",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","09","September","Manufacturing","782",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","08","August","Manufacturing","871",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","07","July","Manufacturing","742",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","06","June","Manufacturing","663",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","05","May","Manufacturing","763",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","04","April","Manufacturing","810",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","03","March","Manufacturing","709",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","02","February","Manufacturing","930",
