stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Management of Companies and Enterprises","164",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Management of Companies and Enterprises","183",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Management of Companies and Enterprises","144",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Management of Companies and Enterprises","172",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Management of Companies and Enterprises","154",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Management of Companies and Enterprises","150",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Management of Companies and Enterprises","172",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Management of Companies and Enterprises","202",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Management of Companies and Enterprises","392",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Management of Companies and Enterprises","424",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Management of Companies and Enterprises","206",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Management of Companies and Enterprises","207",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Management of Companies and Enterprises","232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Management of Companies and Enterprises","284",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Management of Companies and Enterprises","264",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Management of Companies and Enterprises","307",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Management of Companies and Enterprises","399",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Management of Companies and Enterprises","692",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Management of Companies and Enterprises","719",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Management of Companies and Enterprises","570",
