stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Mining","21",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Mining","36",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Mining","18",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Mining","18",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Mining","20",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Mining","32",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Mining","162",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Mining","36",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Mining","18",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Mining","12",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Mining","11",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Mining","12",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Mining","21",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Mining","34",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Mining","39",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Mining","27",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Mining","13",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Mining","237",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Mining","43",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Mining","12",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Mining","13",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Mining","20",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Mining","116",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Mining","28",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Mining","23",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Mining","13",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Mining","22",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Mining","112",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Mining","34",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Mining","",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Mining","",
