stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Other Services, Ex. Public Admin","206",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Other Services, Ex. Public Admin","267",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Other Services, Ex. Public Admin","255",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Other Services, Ex. Public Admin","286",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Other Services, Ex. Public Admin","261",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Other Services, Ex. Public Admin","241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Other Services, Ex. Public Admin","269",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Other Services, Ex. Public Admin","260",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Other Services, Ex. Public Admin","647",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Other Services, Ex. Public Admin","642",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Other Services, Ex. Public Admin","370",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Other Services, Ex. Public Admin","350",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Other Services, Ex. Public Admin","351",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Other Services, Ex. Public Admin","454",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Other Services, Ex. Public Admin","426",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Other Services, Ex. Public Admin","542",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Other Services, Ex. Public Admin","680",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Other Services, Ex. Public Admin","883",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Other Services, Ex. Public Admin","1324",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Other Services, Ex. Public Admin","925",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Other Services, Ex. Public Admin","1482",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Other Services, Ex. Public Admin","8429",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Other Services, Ex. Public Admin","1730",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Other Services, Ex. Public Admin","1956",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Other Services, Ex. Public Admin","995",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Other Services, Ex. Public Admin","1227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Other Services, Ex. Public Admin","1143",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Other Services, Ex. Public Admin","1866",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Other Services, Ex. Public Admin","2013",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Other Services, Ex. Public Admin","2338",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Other Services, Ex. Public Admin","9068",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Other Services, Ex. Public Admin","15352",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Other Services, Ex. Public Admin","174",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Other Services, Ex. Public Admin","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Other Services, Ex. Public Admin","38137",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Other Services, Ex. Public Admin","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Other Services, Ex. Public Admin","245",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Other Services, Ex. Public Admin","195",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Other Services, Ex. Public Admin","152",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Other Services, Ex. Public Admin","152",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Other Services, Ex. Public Admin","162",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Other Services, Ex. Public Admin","165",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Other Services, Ex. Public Admin","195",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Other Services, Ex. Public Admin","187",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Other Services, Ex. Public Admin","179",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Other Services, Ex. Public Admin","134",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Other Services, Ex. Public Admin","272",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Other Services, Ex. Public Admin","2313",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Other Services, Ex. Public Admin","331",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Other Services, Ex. Public Admin","317",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Other Services, Ex. Public Admin","226",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Other Services, Ex. Public Admin","164",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Other Services, Ex. Public Admin","160",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Other Services, Ex. Public Admin","182",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Other Services, Ex. Public Admin","213",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Other Services, Ex. Public Admin","197",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Other Services, Ex. Public Admin","211",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Other Services, Ex. Public Admin","186",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Other Services, Ex. Public Admin","225",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Other Services, Ex. Public Admin","311",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Other Services, Ex. Public Admin","2723",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Other Services, Ex. Public Admin","276",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Other Services, Ex. Public Admin","278",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Other Services, Ex. Public Admin","175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Other Services, Ex. Public Admin","189",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Other Services, Ex. Public Admin","214",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Other Services, Ex. Public Admin","207",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Other Services, Ex. Public Admin","205",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Other Services, Ex. Public Admin","294",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Other Services, Ex. Public Admin","164",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Other Services, Ex. Public Admin","210",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Other Services, Ex. Public Admin","167",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Other Services, Ex. Public Admin","310",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Other Services, Ex. Public Admin","2689",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Other Services, Ex. Public Admin","362",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Other Services, Ex. Public Admin","349",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Other Services, Ex. Public Admin","191",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Other Services, Ex. Public Admin","176",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Other Services, Ex. Public Admin","209",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","Other Services, Ex. Public Admin","224",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","Other Services, Ex. Public Admin","361",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","Other Services, Ex. Public Admin","271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","Other Services, Ex. Public Admin","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","Other Services, Ex. Public Admin","201",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","Other Services, Ex. Public Admin","226",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","Other Services, Ex. Public Admin","342",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","Other Services, Ex. Public Admin","3139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","Other Services, Ex. Public Admin","394",
