stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Professional and Technical Services","481",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Professional and Technical Services","464",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Professional and Technical Services","451",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Professional and Technical Services","505",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Professional and Technical Services","550",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Professional and Technical Services","531",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Professional and Technical Services","529",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Professional and Technical Services","484",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Professional and Technical Services","860",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Professional and Technical Services","968",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Professional and Technical Services","567",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Professional and Technical Services","449",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Professional and Technical Services","418",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Professional and Technical Services","604",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Professional and Technical Services","644",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Professional and Technical Services","755",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Professional and Technical Services","859",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Professional and Technical Services","1276",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Professional and Technical Services","1321",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Professional and Technical Services","1239",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Professional and Technical Services","1670",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Professional and Technical Services","10770",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Professional and Technical Services","1248",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Professional and Technical Services","1210",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Professional and Technical Services","1079",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Professional and Technical Services","1093",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Professional and Technical Services","1228",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Professional and Technical Services","2007",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Professional and Technical Services","2933",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Professional and Technical Services","3253",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Professional and Technical Services","9044",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Professional and Technical Services","6811",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Professional and Technical Services","533",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Professional and Technical Services","635",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Professional and Technical Services","31074",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Professional and Technical Services","585",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Professional and Technical Services","566",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Professional and Technical Services","463",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Professional and Technical Services","468",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Professional and Technical Services","444",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Professional and Technical Services","474",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Professional and Technical Services","473",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Professional and Technical Services","524",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Professional and Technical Services","610",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Professional and Technical Services","531",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Professional and Technical Services","529",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Professional and Technical Services","726",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Professional and Technical Services","6393",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Professional and Technical Services","494",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Professional and Technical Services","570",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Professional and Technical Services","513",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Professional and Technical Services","419",
