stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Public Administration","120",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Public Administration","122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Public Administration","135",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Public Administration","128",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Public Administration","109",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Public Administration","120",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Public Administration","159",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Public Administration","136",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Public Administration","301",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Public Administration","363",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Public Administration","273",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Public Administration","211",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Public Administration","151",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Public Administration","264",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Public Administration","290",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Public Administration","314",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Public Administration","306",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Public Administration","575",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Public Administration","508",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Public Administration","538",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Public Administration","601",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Public Administration","4394",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Public Administration","732",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Public Administration","704",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Public Administration","506",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Public Administration","521",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Public Administration","512",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Public Administration","746",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Public Administration","1068",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Public Administration","1493",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Public Administration","2777",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Public Administration","1483",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Public Administration","120",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Public Administration","152",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Public Administration","10814",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Public Administration","189",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Public Administration","209",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Public Administration","192",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Public Administration","111",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Public Administration","90",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Public Administration","123",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Public Administration","78",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Public Administration","95",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Public Administration","118",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Public Administration","124",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Public Administration","102",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Public Administration","516",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Public Administration","1947",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Public Administration","281",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Public Administration","226",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Public Administration","188",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Public Administration","86",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Public Administration","104",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Public Administration","98",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Public Administration","95",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Public Administration","102",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Public Administration","140",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Public Administration","129",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Public Administration","125",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Public Administration","176",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Public Administration","1750",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Public Administration","190",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Public Administration","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Public Administration","152",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Public Administration","116",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Public Administration","115",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Public Administration","149",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Public Administration","129",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Public Administration","107",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Public Administration","127",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Public Administration","113",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Public Administration","111",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Public Administration","122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Public Administration","1658",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Public Administration","166",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Public Administration","248",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Public Administration","179",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Public Administration","109",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Public Administration","107",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","Public Administration","78",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","Public Administration","85",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","Public Administration","67",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","Public Administration","95",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","Public Administration","72",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","Public Administration","97",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","Public Administration","113",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","Public Administration","1416",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","Public Administration","162",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","11","November","Public Administration","284",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","10","October","Public Administration","183",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","09","September","Public Administration","139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","08","August","Public Administration","103",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","07","July","Public Administration","112",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","06","June","Public Administration","144",
