stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Real Estate and Rental and Leasing","99",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Real Estate and Rental and Leasing","159",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Real Estate and Rental and Leasing","119",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Real Estate and Rental and Leasing","128",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Real Estate and Rental and Leasing","124",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Real Estate and Rental and Leasing","114",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Real Estate and Rental and Leasing","134",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Real Estate and Rental and Leasing","135",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Real Estate and Rental and Leasing","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Real Estate and Rental and Leasing","229",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Real Estate and Rental and Leasing","126",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Real Estate and Rental and Leasing","123",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Real Estate and Rental and Leasing","122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Real Estate and Rental and Leasing","191",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Real Estate and Rental and Leasing","158",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Real Estate and Rental and Leasing","172",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Real Estate and Rental and Leasing","187",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Real Estate and Rental and Leasing","362",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Real Estate and Rental and Leasing","394",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Real Estate and Rental and Leasing","298",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Real Estate and Rental and Leasing","387",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Real Estate and Rental and Leasing","2749",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Real Estate and Rental and Leasing","345",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Real Estate and Rental and Leasing","305",
