stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Retail Trade","552",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Retail Trade","676",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Retail Trade","689",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Retail Trade","356",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Retail Trade","619",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Retail Trade","705",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Retail Trade","747",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Retail Trade","769",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Retail Trade","1453",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Retail Trade","1208",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Retail Trade","741",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Retail Trade","767",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Retail Trade","727",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Retail Trade","1237",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Retail Trade","1161",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Retail Trade","1491",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Retail Trade","1864",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Retail Trade","2336",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Retail Trade","2852",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Retail Trade","2542",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Retail Trade","3657",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Retail Trade","20583",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Retail Trade","3325",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Retail Trade","2669",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Retail Trade","1948",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Retail Trade","2440",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Retail Trade","2406",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Retail Trade","3643",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Retail Trade","4951",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Retail Trade","7363",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Retail Trade","25191",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Retail Trade","18637",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Retail Trade","494",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Retail Trade","615",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Retail Trade","73682",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Retail Trade","602",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Retail Trade","504",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Retail Trade","490",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Retail Trade","467",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Retail Trade","408",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Retail Trade","452",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Retail Trade","454",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Retail Trade","428",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Retail Trade","481",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Retail Trade","431",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Retail Trade","439",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Retail Trade","649",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Retail Trade","5805",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Retail Trade","522",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Retail Trade","514",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Retail Trade","444",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Retail Trade","393",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Retail Trade","451",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Retail Trade","445",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Retail Trade","446",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Retail Trade","502",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Retail Trade","461",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Retail Trade","504",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Retail Trade","499",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Retail Trade","602",
