stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Total Claims","5904",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Total Claims","6671",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Total Claims","6582",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Total Claims","7250",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Total Claims","6858",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Total Claims","6894",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Total Claims","7981",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Total Claims","8024",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Total Claims","16539",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Total Claims","16169",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Total Claims","10409",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Total Claims","8218",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Total Claims","7820",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Total Claims","11255",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Total Claims","10955",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Total Claims","14077",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Total Claims","16497",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Total Claims","21258",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Total Claims","25270",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Total Claims","21846",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Total Claims","29917",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Total Claims","193691",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Total Claims","34857",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Total Claims","38777",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Total Claims","22768",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Total Claims","25549",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Total Claims","25939",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Total Claims","43122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Total Claims","58841",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Total Claims","77191",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Total Claims","190483",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Total Claims","168704",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Total Claims","6793",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Total Claims","8920",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Total Claims","701944",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Total Claims","11081",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Total Claims","9114",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Total Claims","6305",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Total Claims","5488",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Total Claims","4829",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Total Claims","5944",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Total Claims","5539",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Total Claims","5701",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Total Claims","6297",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Total Claims","6338",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Total Claims","6795",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Total Claims","10255",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Total Claims","83686",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Total Claims","9538",
