stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Transportation and Warehousing","235",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Transportation and Warehousing","239",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Transportation and Warehousing","271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Transportation and Warehousing","379",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Transportation and Warehousing","311",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Transportation and Warehousing","285",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Transportation and Warehousing","367",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Transportation and Warehousing","379",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Transportation and Warehousing","668",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Transportation and Warehousing","563",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Transportation and Warehousing","340",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Transportation and Warehousing","299",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Transportation and Warehousing","277",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Transportation and Warehousing","466",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Transportation and Warehousing","504",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Transportation and Warehousing","840",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Transportation and Warehousing","834",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Transportation and Warehousing","1029",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Transportation and Warehousing","1299",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Transportation and Warehousing","947",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Transportation and Warehousing","1470",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Transportation and Warehousing","8868",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Transportation and Warehousing","1373",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Transportation and Warehousing","1302",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Transportation and Warehousing","963",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Transportation and Warehousing","1135",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Transportation and Warehousing","1014",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Transportation and Warehousing","1509",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Transportation and Warehousing","3140",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Transportation and Warehousing","4042",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Transportation and Warehousing","9546",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Transportation and Warehousing","6329",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Transportation and Warehousing","224",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Transportation and Warehousing","304",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Transportation and Warehousing","30881",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Transportation and Warehousing","313",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Transportation and Warehousing","248",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Transportation and Warehousing","186",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Transportation and Warehousing","145",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Transportation and Warehousing","130",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Transportation and Warehousing","228",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Transportation and Warehousing","204",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Transportation and Warehousing","196",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Transportation and Warehousing","243",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Transportation and Warehousing","232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Transportation and Warehousing","194",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Transportation and Warehousing","307",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Transportation and Warehousing","2626",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Transportation and Warehousing","228",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Transportation and Warehousing","282",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Transportation and Warehousing","198",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Transportation and Warehousing","142",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Transportation and Warehousing","176",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Transportation and Warehousing","173",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Transportation and Warehousing","247",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Transportation and Warehousing","223",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Transportation and Warehousing","221",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Transportation and Warehousing","204",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Transportation and Warehousing","219",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Transportation and Warehousing","315",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Transportation and Warehousing","2628",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Transportation and Warehousing","304",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Transportation and Warehousing","301",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Transportation and Warehousing","172",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Transportation and Warehousing","158",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Transportation and Warehousing","181",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Transportation and Warehousing","179",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Transportation and Warehousing","238",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Transportation and Warehousing","272",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Transportation and Warehousing","213",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Transportation and Warehousing","250",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Transportation and Warehousing","225",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Transportation and Warehousing","302",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Transportation and Warehousing","2795",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Transportation and Warehousing","282",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Transportation and Warehousing","363",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Transportation and Warehousing","169",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Transportation and Warehousing","168",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Transportation and Warehousing","174",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","Transportation and Warehousing","184",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","Transportation and Warehousing","268",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","Transportation and Warehousing","195",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","Transportation and Warehousing","194",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","Transportation and Warehousing","221",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","Transportation and Warehousing","268",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","Transportation and Warehousing","281",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","Transportation and Warehousing","2767",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","Transportation and Warehousing","291",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","11","November","Transportation and Warehousing","303",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","10","October","Transportation and Warehousing","167",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","09","September","Transportation and Warehousing","158",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","08","August","Transportation and Warehousing","170",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","07","July","Transportation and Warehousing","182",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","06","June","Transportation and Warehousing","223",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","05","May","Transportation and Warehousing","168",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","04","April","Transportation and Warehousing","176",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","03","March","Transportation and Warehousing","235",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","02","February","Transportation and Warehousing","242",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","01","January","Transportation and Warehousing","308",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","01","00","Year","Transportation and Warehousing","2623",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","12","December","Transportation and Warehousing","313",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","11","November","Transportation and Warehousing","305",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","10","October","Transportation and Warehousing","170",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","09","September","Transportation and Warehousing","203",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","08","August","Transportation and Warehousing","139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","07","July","Transportation and Warehousing","220",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","06","June","Transportation and Warehousing","274",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","05","May","Transportation and Warehousing","224",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","04","April","Transportation and Warehousing","265",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","03","March","Transportation and Warehousing","253",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","02","February","Transportation and Warehousing","241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","01","January","Transportation and Warehousing","329",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","01","00","Year","Transportation and Warehousing","2936",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","12","December","Transportation and Warehousing","354",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","11","November","Transportation and Warehousing","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","10","October","Transportation and Warehousing","223",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","09","September","Transportation and Warehousing","206",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","08","August","Transportation and Warehousing","198",
