stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Unclassified","70",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Unclassified","86",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Unclassified","112",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Unclassified","460",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Unclassified","180",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Unclassified","115",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Unclassified","157",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Unclassified","133",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Unclassified","319",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Unclassified","388",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Unclassified","180",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Unclassified","280",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Unclassified","220",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Unclassified","310",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Unclassified","310",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Unclassified","399",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Unclassified","467",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Unclassified","458",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Unclassified","682",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Unclassified","565",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Unclassified","886",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Unclassified","5145",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Unclassified","789",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Unclassified","837",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Unclassified","792",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Unclassified","1132",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Unclassified","1134",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Unclassified","1742",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Unclassified","1911",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Unclassified","2377",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Unclassified","4899",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Unclassified","2992",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Unclassified","92",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Unclassified","128",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Unclassified","18825",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Unclassified","131",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Unclassified","83",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Unclassified","76",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Unclassified","47",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Unclassified","52",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Unclassified","64",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Unclassified","51",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Unclassified","77",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Unclassified","97",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Unclassified","106",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Unclassified","111",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Unclassified","124",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Unclassified","1019",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Unclassified","117",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Unclassified","81",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Unclassified","68",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Unclassified","57",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Unclassified","54",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Unclassified","72",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Unclassified","51",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Unclassified","62",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Unclassified","118",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Unclassified","122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Unclassified","130",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Unclassified","132",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Unclassified","1064",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Unclassified","97",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Unclassified","84",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Unclassified","57",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Unclassified","39",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Unclassified","139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Unclassified","180",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Unclassified","165",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Unclassified","94",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Unclassified","123",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Unclassified","107",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Unclassified","89",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Unclassified","343",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Unclassified","1517",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Unclassified","310",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Unclassified","305",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Unclassified","233",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Unclassified","203",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Unclassified","210",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","Unclassified","193",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","Unclassified","263",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","Unclassified","198",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","Unclassified","194",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","Unclassified","184",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","Unclassified","232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","Unclassified","258",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","Unclassified","2783",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","Unclassified","374",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","11","November","Unclassified","273",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","10","October","Unclassified","228",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","09","September","Unclassified","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","08","August","Unclassified","212",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","07","July","Unclassified","223",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","06","June","Unclassified","274",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","05","May","Unclassified","211",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","04","April","Unclassified","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","03","March","Unclassified","297",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","02","February","Unclassified","245",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","01","January","Unclassified","393",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","01","00","Year","Unclassified","3232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","12","December","Unclassified","465",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","11","November","Unclassified","359",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","10","October","Unclassified","290",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","09","September","Unclassified","269",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","08","August","Unclassified","228",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","07","July","Unclassified","271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","06","June","Unclassified","289",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","05","May","Unclassified","283",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","04","April","Unclassified","296",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","03","March","Unclassified","377",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","02","February","Unclassified","316",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","01","January","Unclassified","476",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","01","00","Year","Unclassified","3919",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","12","December","Unclassified","533",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","11","November","Unclassified","372",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","10","October","Unclassified","527",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","09","September","Unclassified","353",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","08","August","Unclassified","325",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","07","July","Unclassified","405",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","06","June","Unclassified","378",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","05","May","Unclassified","380",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","04","April","Unclassified","426",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","03","March","Unclassified","386",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","02","February","Unclassified","376",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","01","January","Unclassified","644",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","01","00","Year","Unclassified","5105",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","12","December","Unclassified","494",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","11","November","Unclassified","489",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","10","October","Unclassified","462",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","09","September","Unclassified","364",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","08","August","Unclassified","391",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","07","July","Unclassified","591",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","06","June","Unclassified","579",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","05","May","Unclassified","673",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","04","April","Unclassified","459",
