stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Utilities","30",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Utilities","27",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Utilities","32",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Utilities","32",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Utilities","17",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Utilities","23",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Utilities","36",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Utilities","36",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Utilities","76",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Utilities","95",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Utilities","32",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Utilities","32",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Utilities","31",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Utilities","40",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Utilities","55",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Utilities","41",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Utilities","40",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Utilities","53",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Utilities","78",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Utilities","71",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Utilities","95",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Utilities","663",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Utilities","90",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Utilities","60",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Utilities","40",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Utilities","49",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Utilities","44",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Utilities","81",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Utilities","74",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Utilities","111",
