stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","09","September","Wholesale Trade","244",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","08","August","Wholesale Trade","203",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","07","July","Wholesale Trade","232",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","06","June","Wholesale Trade","239",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","05","May","Wholesale Trade","208",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","04","April","Wholesale Trade","240",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","03","March","Wholesale Trade","269",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","02","February","Wholesale Trade","253",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2022","03","01","January","Wholesale Trade","443",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","12","December","Wholesale Trade","536",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","11","November","Wholesale Trade","245",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","10","October","Wholesale Trade","243",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","09","September","Wholesale Trade","272",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","08","August","Wholesale Trade","370",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","07","July","Wholesale Trade","365",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","06","June","Wholesale Trade","402",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","05","May","Wholesale Trade","495",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","04","April","Wholesale Trade","756",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","03","March","Wholesale Trade","828",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","02","February","Wholesale Trade","782",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","03","01","January","Wholesale Trade","1021",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2021","01","00","Year","Wholesale Trade","6315",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","12","December","Wholesale Trade","871",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","11","November","Wholesale Trade","878",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","10","October","Wholesale Trade","758",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","09","September","Wholesale Trade","870",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","08","August","Wholesale Trade","832",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","07","July","Wholesale Trade","1420",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","06","June","Wholesale Trade","2428",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","05","May","Wholesale Trade","3083",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","04","April","Wholesale Trade","6613",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","03","March","Wholesale Trade","4584",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","02","February","Wholesale Trade","288",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","03","01","January","Wholesale Trade","334",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2020","01","00","Year","Wholesale Trade","22959",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","12","December","Wholesale Trade","290",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","11","November","Wholesale Trade","253",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","10","October","Wholesale Trade","268",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","09","September","Wholesale Trade","250",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","08","August","Wholesale Trade","254",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","07","July","Wholesale Trade","240",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","06","June","Wholesale Trade","182",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","05","May","Wholesale Trade","231",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","04","April","Wholesale Trade","253",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","03","March","Wholesale Trade","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","02","February","Wholesale Trade","285",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","03","01","January","Wholesale Trade","341",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2019","01","00","Year","Wholesale Trade","3122",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","12","December","Wholesale Trade","277",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","11","November","Wholesale Trade","254",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","10","October","Wholesale Trade","241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","09","September","Wholesale Trade","201",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","08","August","Wholesale Trade","234",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","07","July","Wholesale Trade","234",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","06","June","Wholesale Trade","211",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","05","May","Wholesale Trade","229",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","04","April","Wholesale Trade","254",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","03","March","Wholesale Trade","301",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","02","February","Wholesale Trade","264",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","03","01","January","Wholesale Trade","365",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2018","01","00","Year","Wholesale Trade","3065",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","12","December","Wholesale Trade","318",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","11","November","Wholesale Trade","242",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","10","October","Wholesale Trade","258",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","09","September","Wholesale Trade","241",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","08","August","Wholesale Trade","282",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","07","July","Wholesale Trade","228",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","06","June","Wholesale Trade","282",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","05","May","Wholesale Trade","287",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","04","April","Wholesale Trade","280",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","03","March","Wholesale Trade","299",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Wholesale Trade","231",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Wholesale Trade","353",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Wholesale Trade","3301",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Wholesale Trade","368",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Wholesale Trade","378",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Wholesale Trade","288",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Wholesale Trade","287",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Wholesale Trade","319",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","Wholesale Trade","313",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","Wholesale Trade","318",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","Wholesale Trade","278",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","Wholesale Trade","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","Wholesale Trade","325",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","Wholesale Trade","344",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","Wholesale Trade","373",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","Wholesale Trade","3866",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","Wholesale Trade","353",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","11","November","Wholesale Trade","377",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","10","October","Wholesale Trade","281",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","09","September","Wholesale Trade","312",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","08","August","Wholesale Trade","314",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","07","July","Wholesale Trade","299",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","06","June","Wholesale Trade","323",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","05","May","Wholesale Trade","309",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","04","April","Wholesale Trade","310",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","03","March","Wholesale Trade","337",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","02","February","Wholesale Trade","352",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","01","January","Wholesale Trade","378",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","01","00","Year","Wholesale Trade","3945",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","12","December","Wholesale Trade","374",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","11","November","Wholesale Trade","327",
