,days,date,cases,daily_cases,slope,14_day_avg,new_cases14,slope14,masks
0,0,2020-01-22,0,0.0,0.0,,,,0.0
1,1,2020-01-23,0,0.0,0.0,,,,0.0
2,2,2020-01-24,0,0.0,0.0,,,,0.0
3,3,2020-01-25,0,0.0,0.0,,,,0.0
4,4,2020-01-26,0,0.0,0.0,,,,0.0
5,5,2020-01-27,0,0.0,0.0,,,,0.0
6,6,2020-01-28,0,0.0,0.0,,,,0.0
7,7,2020-01-29,0,0.0,0.0,,,,0.0
8,8,2020-01-30,0,0.0,0.0,,,,0.0
9,9,2020-01-31,0,0.0,0.0,,,,0.0
10,10,2020-02-01,0,0.0,0.0,,,,0.0
11,11,2020-02-02,0,0.0,0.0,,,,0.0
12,12,2020-02-03,0,0.0,0.0,,,,0.0
13,13,2020-02-04,0,0.0,0.0,0.0,,,0.0
14,14,2020-02-05,0,0.0,0.0,0.0,0.0,,0.0
15,15,2020-02-06,0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,2020-02-07,0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,2020-02-08,0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,2020-02-09,0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,2020-02-10,0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,2020-02-11,0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,2020-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,2020-02-13,0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,2020-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,2020-02-15,0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,2020-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,2020-02-17,0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,2020-02-18,0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,2020-02-19,0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,2020-02-20,0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,2020-02-21,0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,2020-02-22,0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,2020-02-23,0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,2020-02-24,0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,2020-02-25,0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,2020-02-26,0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,2020-02-27,0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,2020-02-28,0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,2020-02-29,0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,2020-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,2020-03-02,0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,2020-03-03,0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,2020-03-04,0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,2020-03-05,0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,2020-03-06,1,1.0,1.0,0.0,0.0,0.0,0.0
45,45,2020-03-07,1,0.0,-1.0,0.0,0.0,0.0,0.0
46,46,2020-03-08,1,0.0,0.0,0.0,0.0,0.0,0.0
47,47,2020-03-09,2,1.0,1.0,0.0,0.0,0.0,0.0
48,48,2020-03-10,2,0.0,-1.0,0.0,0.0,0.0,0.0
49,49,2020-03-11,4,2.0,2.0,1.0,1.0,1.0,0.0
50,50,2020-03-12,7,3.0,1.0,1.0,0.0,-1.0,0.0
51,51,2020-03-13,7,0.0,-3.0,2.0,1.0,1.0,0.0
52,52,2020-03-14,15,8.0,8.0,3.0,1.0,0.0,0.0
53,53,2020-03-15,15,0.0,-8.0,4.0,1.0,0.0,0.0
54,54,2020-03-16,43,28.0,28.0,7.0,3.0,2.0,0.0
55,55,2020-03-17,47,4.0,-24.0,10.0,3.0,0.0,0.0
56,56,2020-03-18,57,10.0,6.0,14.0,4.0,1.0,0.0
57,57,2020-03-19,65,8.0,-2.0,19.0,5.0,1.0,0.0
58,58,2020-03-20,81,16.0,8.0,25.0,6.0,1.0,0.0
59,59,2020-03-21,90,9.0,-7.0,31.0,6.0,0.0,0.0
60,60,2020-03-22,108,18.0,9.0,39.0,8.0,2.0,0.0
61,61,2020-03-23,161,53.0,35.0,50.0,11.0,3.0,0.0
62,62,2020-03-24,180,19.0,-34.0,63.0,13.0,2.0,0.0
63,63,2020-03-25,193,13.0,-6.0,76.0,13.0,0.0,0.0
64,64,2020-03-26,222,29.0,16.0,92.0,16.0,3.0,0.0
65,65,2020-03-27,250,28.0,-1.0,109.0,17.0,1.0,0.0
66,66,2020-03-28,281,31.0,3.0,128.0,19.0,2.0,0.0
67,67,2020-03-29,318,37.0,6.0,150.0,22.0,3.0,0.0
68,68,2020-03-30,362,44.0,7.0,172.0,22.0,0.0,0.0
69,69,2020-03-31,389,27.0,-17.0,197.0,25.0,3.0,0.0
70,70,2020-04-01,422,33.0,6.0,223.0,26.0,1.0,0.0
71,71,2020-04-02,450,28.0,-5.0,250.0,27.0,1.0,0.0
72,72,2020-04-03,473,23.0,-5.0,278.0,28.0,1.0,0.0
73,73,2020-04-04,499,26.0,3.0,308.0,30.0,2.0,0.0
